,brand,model,OS,RAM,approx_price_EUR,battery_removable,battery_type,battery_mah,CPU_cores,CPU_speed,primary_camera_mp,secondary_camera_mp,internal_memory_gb
554,Allview,P6 Quad Plus,Android,1,220.0,True,Li-Po,2100,4,1.5,8,1,4
555,Allview,A5 Quad,Android,512,130.0,True,Li-Ion,1700,4,1.3,5,VGA,4
556,Allview,P5 Symbol,Android,512,160.0,True,Li-Ion,1700,2,1.2,5,VGA,4
557,Allview,X1 Soul Mini,Android,1,270.0,False,Li-Po,3000,4,1.5,8,2,16
558,Allview,X1 Soul,Android,2,360.0,False,Li-Po,2000,4,1.5,13,5,32
560,Allview,A5 Duo,Android,512,100.0,True,Li-Ion,1700,2,1.2,3.15,VGA,4
561,Allview,H2 Qubo,Android,512,120.0,True,Li-Ion,1800,4,1.2,5,VGA,4
562,Allview,Viper i V1,Android,1,200.0,True,Li-Ion,1800,4,1.3,8,2,8
563,Allview,Viper V1,Android,1,230.0,True,Li-Ion,1800,4,1.2,8,2,4
564,Allview,P5 Qmax,Android,1,230.0,True,Li-Ion,3000,4,1.2,8,1,4
567,Allview,A4ALL,Android,256,70.0,True,Li-Ion,1500,1,1.0,2,VGA,512
568,Allview,P5 Quad,Android,1,170.0,True,Li-Ion,2100,4,1.2,8,1,4
569,Allview,P6 Stony,Android,1,200.0,False,Li-Po,2100,2,1.0,8,1,4
570,Allview,P4 Duo,Android,512,180.0,True,Li-Ion,1600,2,1.0,8,VGA,4
571,Allview,P5 Mini,Android,512,90.0,True,Li-Ion,1700,1,1.0,3.15,VGA,4
573,Allview,P4 AllDro,Android,512,200.0,True,Li-Ion,1600,1,1.0,8,VGA,4
574,Allview,P3 AllDro,Android,512,100.0,True,Li-Ion,1900,1,0.67,8,VGA,512
575,Allview,P2 AllDro,Android,256,80.0,True,Li-Ion,1400,1,0.67,5,VGA,512
582,Amazon,Fire HDX 8.9 (2014),Android,2,310.0,False,Li-Ion,,4,2.5,8,720p,64
585,Amazon,Fire Phone,Amazon,2,160.0,False,Li-Ion,2400,4,2.2,13,2.1,64
586,Amazon,Kindle Fire HDX 8.9,Android,2,280.0,False,Li-Ion,,4,2.2,8,720p,64
587,Amazon,Kindle Fire HDX,Android,2,170.0,False,Li-Ion,,4,2.2,1.3,No,64
589,Amazon,Kindle Fire HD 8.9 LTE,Android,1,380.0,False,Li-Ion,,2,1.5,1.3,No,64
590,Amazon,Kindle Fire HD 8.9,Android,1,200.0,False,Li-Ion,,2,1.5,1.3,No,32
591,Amazon,Kindle Fire HD,Android,1,150.0,False,Li-Ion,,2,1.2,1.3,No,32
642,Apple,iPad 9.7,iOS,2,390.0,False,Li-Ion,8827,2,1.84,8,1.2,32
651,Apple,iPhone 7 Plus,iOS,3,900.0,False,Li-Ion,2900,4,2.34,Dual,7,32
652,Apple,iPhone 7,iOS,GB|,760.0,False,Li-Ion,1960,4,2.34,12,7,32
653,Apple,iPad Pro 9.7,iOS,2,690.0,False,Li-Ion,,2,2.16,12,5,32
654,Apple,iPhone SE,iOS,2,440.0,False,Li-Po,1624,2,1.84,12,1.2,64
655,Apple,iPhone 6s Plus,iOS,2,750.0,False,Li-Ion,2750,2,1.84,12,5,64
656,Apple,iPhone 6s,iOS,2,620.0,False,Li-Ion,1715,2,1.84,12,5,64
657,Apple,iPad Pro,iOS,4,850.0,False,Li-Ion,10,2,2.26,8,1.2,32
658,Apple,iPad mini 4,iOS,2,360.0,False,Li-Ion,5124,2,1.5,8,1.2,64
665,Apple,iPad Air 2,iOS,2,440.0,False,Li-Po,7340,3,1.5,8,1.2,64
